Title,Authors,Citations,Year,Venue,Publisher,Description,Link
Deepfake detection: A systematic literature review,"MS Rana, MN Nobi, B Murali, AH Sung ",187,2022,"IEEE access, 2022",ieeexplore.ieee.org,"… ture in the Deepfake domain. We report current tools, techniques, and datasets for Deepfake 
… This method extracts and analyzes the similarities between the audio and visual modalities …",https://ieeexplore.ieee.org/abstract/document/9721302/
"Deepfake detection in media files-audios, images and videos","BF Nasar, T Sajini, ER Lason ",20,2020,"2020 IEEE Recent Advances in …, 2020",ieeexplore.ieee.org,"… In this section, we are going to discuss the various literature work in the Deepfake creation 
and detection domain which we specified in our survey paper on deepfake [1]. In the paper [2]…",https://ieeexplore.ieee.org/abstract/document/9332516/
Audio Deepfake Detection With Self-Supervised Wavlm And Multi-Fusion Attentive Classifier,"Y Guo, H Huang, X Chen, H Zhao… ",10,2024,"2024 …, 2024",ieeexplore.ieee.org,"… In this paper, we focus on audio deepfake detection based on the speech self-supervised 
model. We employ the selfsupervised WavLM as the front-end feature extractor for the first time …",https://ieeexplore.ieee.org/abstract/document/10447923/
A review of Deepfake technology: an emerging AI threat,"M Sharma, M Kaur ",24,2022,"Soft Computing for Security Applications: Proceedings …, 2022",Springer,"… In 2021, deepfake showed constructive implication were deepfake … of deepfake could be 
visualized making it merely impossible to detect at one look. Deepfake in still images, audios or …",https://link.springer.com/chapter/10.1007/978-981-16-5301-8_44
Cross-Modality and Within-Modality Regularization for Audio-Visual Deepfake Detection,"H Zou, M Shen, Y Hu, C Chen… ",4,2024,"2024 …, 2024",ieeexplore.ieee.org,"… We evaluate our method on the public audio-visual deepfake detection datasets: FakeAVCeleb 
[18]… Performances comparison of audio-visual deepfake detection with SOTA methods on …",https://ieeexplore.ieee.org/abstract/document/10447248/
Deepfake Audio Detection Using Spectrogram-based Feature and Ensemble of Deep Learning Models,"L Pham, P Lam, T Nguyen, H Nguyen… ",0,2024,"arXiv preprint arXiv …, 2024",arxiv.org,"… for the task of deepfake audio detection. In particular, the draw input audio is first transformed 
… In the third approach, we leverage the state-of-the-art audio pre-trained models of Whisper, …",https://arxiv.org/abs/2407.01777
"Deepfake generation and detection, a survey",T Zhang ,98,2022,"Multimedia Tools and Applications, 2022",Springer,"… DEEP FAKES Accountability Act [2] defines deepfake as videos, audios, and images that 
can … In summary, deepfake refers to seemingly realistic but fake images, audios, videos, and …",https://link.springer.com/article/10.1007/s11042-021-11733-y
WavLM model ensemble for audio deepfake detection,"D Combei, A Stan, D Oneata, H Cucu ",0,2024,"arXiv preprint arXiv:2408.07414, 2024",arxiv.org,"… We investigate how well pretrained audio representations transfer to the task of audio 
deepfake detection. We consider three classes of models. The first class are self-supervised …",https://arxiv.org/abs/2408.07414
Audio deepfake detection based on differences in human and machine generated speech,Y Gao ,4,"Can not find year, please check manually.",2022,search.proquest.com,"… the robustness of detectors for deepfake detection and their … discuss the future directions 
of audio deepfake detection. … very commonly used in deepfake audio generation, we found …",https://search.proquest.com/openview/8c785ee75daf936adfb17572042e6c41/1?pq-origsite=gscholar&cbl=18750&diss=y
Add 2022: the first audio deep synthesis detection challenge,"J Yi, R Fu, J Tao, S Nie, H Ma, C Wang… ",165,2022,"2022 …, 2022",ieeexplore.ieee.org,"… : an audio generation task and an audio fake detection task. In this … the recent advances in 
audio deepfake detection tasks. … Therefore, a lot of efforts have been made for audio deepfake …",https://ieeexplore.ieee.org/abstract/document/9746939/
AVT2-DWF: Improving Deepfake Detection with Audio-Visual Fusion and Dynamic Weighting Strategies,"R Wang, D Ye, L Tang, Y Zhang, J Deng ",3,2024,"arXiv preprint arXiv:2403.14974, 2024",arxiv.org,"… Xu, “Joint audio-visual attention with contrastive learning for more general deepfake detection,” … 
Manocha, “Emotions don’t lie: An audio-visual deepfake detection method using affective …",https://arxiv.org/abs/2403.14974
Multiresolution decomposition analysis via wavelet transforms for audio deepfake detection,"A Fathan, J Alam, W Kang ",1,2022,"International Conference on Speech and …, 2022",Springer,"… deepfake are making it increasingly harder to spot fake generated content. To improve current 
audio … -of-the-art computer vision models on audio anti-spoofing detection. These wavelet …",https://link.springer.com/chapter/10.1007/978-3-031-20980-2_17
Voice-face homogeneity tells deepfake,"H Cheng, Y Guo, T Wang, Q Li, X Chang… ",61,2023,"ACM Transactions on …, 2023",dl.acm.org,"… Speciically, we perform deepfake detection via the intrinsic correlation of facial and audio 
excluding any additional auxiliary data, either more modalities or more visual features. …",https://dl.acm.org/doi/abs/10.1145/3625231
Self-supervised transformer for deepfake detection,"H Zhao, W Zhou, D Chen, W Zhang, N Yu ",37,2022,"arXiv preprint arXiv …, 2022",arxiv.org,"… In this paper, we propose a self-supervised pre-train method using audio-visual contrastive 
learning for improving the robustness and transferability of deepfake detection. Our method …",https://arxiv.org/abs/2203.01265
MIS-AVoiDD: Modality invariant and specific representation for audio-visual deepfake detection,"VS Katamneni, A Rattani ",10,2023,"2023 International Conference on …, 2023",ieeexplore.ieee.org,"… We conjecture that the heterogeneous nature of the audio and … of audio and visual streams 
for multimodal deepfake detection. Specifically, we propose the joint use of modality (audio …",https://ieeexplore.ieee.org/abstract/document/10460064/
Cross-Domain Audio Deepfake Detection: Dataset and Analysis,"Y Li, M Zhang, M Ren, M Ma, D Wei, H Yang ",2,2024,"arXiv preprint arXiv …, 2024",arxiv.org,"… often unable to recognize deepfake audio (Müller et al., 2022… perative to develop robust 
audio deepfake detection (ADD) … Audio deepfake detection system with neural stitching for add …",https://arxiv.org/abs/2404.04904
Deepfake audio detection with vision transformer based method,"G Ulutas, G Tahaoglu… ",4,2023,"2023 46th International …, 2023",ieeexplore.ieee.org,"… a detection of deepfake audio forgery approach with vision transformer networks. The ViT 
model is trained with CQT spectrogram images that represent the audios from the publicly …",https://ieeexplore.ieee.org/abstract/document/10197715/
Avtenet: Audio-visual transformer-based ensemble network exploiting multiple experts for video deepfake detection,"A Hashmi, SA Shahzad, CW Lin, Y Tsao… ",4,2023,"arXiv preprint arXiv …, 2023",arxiv.org,"… in the literature that exploit audio and visual modalities to … multi-modal datasets of deepfake 
videos involving acoustic and … by deepfake technology, in this paper, we propose an Audio-…",https://arxiv.org/abs/2310.13103
Audio Deepfake Detection by using Machine and Deep Learning,"HH Kilinc, F Kaledibi ",1,2023,"2023 10th International Conference on …, 2023",ieeexplore.ieee.org,"… Robust audio deepfake detection systems are needed to prevent abuse of artificial speech 
… In this study, an MFCC-based detection system is proposed for audio deepfake detection. …",https://ieeexplore.ieee.org/abstract/document/10323004/
Audio-visual deepfake detection using articulatory representation learning,"Y Wang, H Huang ",0,2024,"Computer Vision and Image Understanding, 2024",Elsevier,"… -level audio-visual correlations, ie, articulatory-related representations, into popular audio-visual 
deepfake … Building on this insight, we introduce ART-AVDF, an audio-visual deepfake …",https://www.sciencedirect.com/science/article/pii/S1077314224002145
ADD 2023: Towards Audio Deepfake Detection and Analysis in the Wild,"J Yi, CY Zhang, J Tao, C Wang, X Yan, Y Ren… ",0,2024,"arXiv preprint arXiv …, 2024",arxiv.org,"… These challenges represent the next frontier in combating audio manipulation and … advance 
deepfake audio detection research in this direction, we launched a second Audio Deepfake …",https://arxiv.org/abs/2408.04967
